# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
2.188356178586162059e+03,1.012944130423174105e+00,1.000529659837987584e+00,1.000652992916943429e+00,1.000807612571561922e+00
2.188363122913997813e+03,1.013719220750246119e+00,9.999535032074310381e-01,1.000243921502989464e+00,1.000989122612062188e+00
2.188370067241538436e+03,1.013547837726525902e+00,1.001012433042250294e+00,1.001120352601653885e+00,1.000900151701877405e+00
2.188377011568775742e+03,1.012513995899142039e+00,1.000761920232404734e+00,1.000882025992788860e+00,1.000697110058965666e+00
2.188383955895698818e+03,1.013980078850881705e+00,1.000792212215840804e+00,1.001014871719024146e+00,1.001488268695423622e+00
2.188390900222301298e+03,1.013832339643954805e+00,1.002076306692106789e+00,1.002118711710785481e+00,1.001068651912436769e+00
2.188397844548575449e+03,1.013464405266328860e+00,1.000164634382273654e+00,1.000349153875101482e+00,1.001022267864822402e+00
2.188404788874518090e+03,1.013700566250009372e+00,1.001268752010908258e+00,1.001480231092071849e+00,1.001324911370660820e+00
2.188411733200118306e+03,1.012622568971099479e+00,1.000318730919524057e+00,1.000462429254688201e+00,1.000894742057450992e+00
2.188418677525374278e+03,1.013494341165668722e+00,1.001388190440415604e+00,1.001546846538848845e+00,1.001080964828261255e+00
2.188425621850277821e+03,1.013230849814628076e+00,1.001886468608677916e+00,1.001974516117412728e+00,1.001322433992795746e+00
2.188432566174828480e+03,1.012957878762130060e+00,1.001300921477003003e+00,1.001379027098289853e+00,1.001011360207168188e+00
2.188439510499017160e+03,1.012386602016396298e+00,1.000448124617187462e+00,1.000694444310014308e+00,1.001200280947649679e+00
2.188446454822844316e+03,1.012827047794645274e+00,1.000022689812866350e+00,1.000265895289606632e+00,1.000932898858695852e+00
2.188453399146305401e+03,1.011760581380666046e+00,1.002242103099163950e+00,1.002267219760069938e+00,1.000201283466701563e+00
2.188460343469398140e+03,1.012799939174687580e+00,9.998620279815657597e-01,1.000051833358460929e+00,1.001145261113054019e+00
2.188467287792119350e+03,1.012334768561057974e+00,1.000407230970623340e+00,1.000576942574031625e+00,1.000041099130336342e+00
2.188474232114470851e+03,1.011906518889947426e+00,1.001087125176789439e+00,1.001238695222877340e+00,1.000920413558479494e+00
2.188481176436449914e+03,1.012906156180493067e+00,1.000512899094635699e+00,1.000768625210077811e+00,1.000938373767337852e+00
2.188488120758056994e+03,1.010558710459025233e+00,1.000332750631693246e+00,1.000479057442506425e+00,1.000151601201988205e+00
2.188495065079291180e+03,1.011891523221852385e+00,1.000705448433624856e+00,1.000817205869017679e+00,1.000966272455941830e+00
2.188502009400155202e+03,1.012158257628654523e+00,1.000430589165287154e+00,1.000705714784120959e+00,1.000769920126449941e+00
2.188508953720649515e+03,1.011164468925850546e+00,1.000276119297304867e+00,1.000439245705520452e+00,1.000895090138588017e+00
2.188515898040775937e+03,1.013192071737613054e+00,1.001694929671941514e+00,1.001851116969348698e+00,1.001544206388079283e+00
2.188522842360537197e+03,1.011268939670861178e+00,1.000865633989525216e+00,1.000922807628906064e+00,1.000469209543144222e+00
2.188529786679936933e+03,1.011429706537685824e+00,1.000928512622356603e+00,1.001044327068566275e+00,1.001253384172698269e+00
2.188536730998980147e+03,1.010696304722286998e+00,1.000374601992111812e+00,1.000600108297222013e+00,1.001414954622595666e+00
2.188543675317668658e+03,1.012084886956846841e+00,1.001500489863096366e+00,1.001562318800937712e+00,1.001506837136453054e+00
2.188550619636008378e+03,1.011311958666949451e+00,1.000057495163871435e+00,1.000215598660140204e+00,1.000016795934502101e+00
