time,flux
1.452703851244810267e+03,1.000455617904663086e+00
1.452724684479571806e+03,9.998409152030944824e-01
1.452745517712753553e+03,9.996829628944396973e-01
1.452766350944383248e+03,9.992576241493225098e-01
1.452787184174448385e+03,1.000152587890625000e+00
1.452808017402966016e+03,9.998226165771484375e-01
1.452828850629954104e+03,1.000511884689331055e+00
1.452849683855399235e+03,9.996431469917297363e-01
1.452870517079329375e+03,1.000129342079162598e+00
1.452891350301740886e+03,9.997376203536987305e-01
1.452912183522631722e+03,9.999597072601318359e-01
1.452933016742018026e+03,1.000155329704284668e+00
1.452953849959916852e+03,9.996966123580932617e-01
1.452974683176315466e+03,9.997896552085876465e-01
1.452995516391240244e+03,1.000119805335998535e+00
1.453016349604677316e+03,9.995139837265014648e-01
1.453037182816654195e+03,1.000156521797180176e+00
1.453058016027157009e+03,1.000068306922912598e+00
1.453078849236212136e+03,9.998401403427124023e-01
1.453099682443805477e+03,1.000290632247924805e+00
1.453120515649964318e+03,9.994958639144897461e-01
1.453141348854674106e+03,9.999850988388061523e-01
1.453162182057960763e+03,9.997375607490539551e-01
1.453183015259810645e+03,9.999933242797851562e-01
1.453203848460249674e+03,9.999532699584960938e-01
1.453224681659263524e+03,1.000032067298889160e+00
1.453245514856878117e+03,1.000699877738952637e+00
1.453266348053078900e+03,9.999063014984130859e-01
1.453287181247892022e+03,9.998576641082763672e-01
1.453308014441302248e+03,1.000473260879516602e+00
1.453328847633335954e+03,1.000137686729431152e+00
1.453349680823977906e+03,1.000006914138793945e+00
1.453370514013253114e+03,1.000018119812011719e+00
1.453391347201148164e+03,1.000575423240661621e+00
1.453412180387686931e+03,9.999267458915710449e-01
1.453433013572854634e+03,1.000095129013061523e+00
1.453453846756676967e+03,9.998007416725158691e-01
1.453474679939138923e+03,1.000068664550781250e+00
1.453495513120264832e+03,1.000142931938171387e+00
1.453516346300039459e+03,1.000609397888183594e+00
1.453537179478488042e+03,9.994134902954101562e-01
1.453558012655595121e+03,9.999730587005615234e-01
1.453578845831385479e+03,1.000501513481140137e+00
1.453599679005843655e+03,9.998499751091003418e-01
1.453620512178993977e+03,1.000045299530029297e+00
1.453641345350820757e+03,9.998496174812316895e-01
1.453662178521349006e+03,9.998878240585327148e-01
1.453683011690562580e+03,9.998601675033569336e-01
1.453703844858485581e+03,1.000018596649169922e+00
1.453724678025103003e+03,1.000013351440429688e+00
1.453745511190438265e+03,1.000827193260192871e+00
1.453766344354475677e+03,1.000380992889404297e+00
1.453787177517239343e+03,9.994897246360778809e-01
1.453808010678713799e+03,1.000076174736022949e+00
1.453828843838922012e+03,1.000492691993713379e+00
1.453849676997848064e+03,9.995257854461669922e-01
1.453870510155516513e+03,9.997946619987487793e-01
1.453891343311910987e+03,9.998348355293273926e-01
1.453912176467054223e+03,9.998226165771484375e-01
1.453933009620930989e+03,9.992377161979675293e-01
1.453953842773564475e+03,9.997695684432983398e-01
1.453974675924938538e+03,9.995509982109069824e-01
1.454016342223961828e+03,9.997454285621643066e-01
1.454037175371618332e+03,9.998315572738647461e-01
1.454058008518030420e+03,1.000393629074096680e+00
1.454078841663209914e+03,9.999279975891113281e-01
1.454099674807169549e+03,1.000534653663635254e+00
1.454183007370763335e+03,9.998109936714172363e-01
